date0,local_ip0,remote_asn0,flows0,date1,local_ip1,remote_asn1,flows1,date2,local_ip2,remote_asn2,flows2,date3,local_ip3,remote_asn3,flows3,date4,local_ip4,remote_asn4,flows4,date5,local_ip5,remote_asn5,flows5,date6,local_ip6,remote_asn6,flows6,date7,local_ip7,remote_asn7,flows7,date8,local_ip8,remote_asn8,flows8,date9,local_ip9,remote_asn9,flows9
703,0,209,1,703,1,5668,2,705,2,47,1,707,3,9318,3,708,4,3786,3,704,5,9271,2,706,6,11062,6,703,7,15169,130,703,8,23123,3,703,9,14744,2
703,0,701,7,703,1,6388,1,705,2,81,1,708,3,2152,1,708,4,4837,1,704,5,9800,2,706,6,12297,2,703,7,16966,16,703,8,30217,26,703,9,15104,60
703,0,2856,1,703,1,6461,6,705,2,209,38,708,3,3786,2,708,4,7132,2,704,5,9812,1,706,6,18182,2,703,7,18924,56,703,8,30315,2,703,9,15169,255
703,0,3269,9,703,1,6478,1,705,2,1312,84,708,3,4134,6,708,4,14383,7,704,5,13867,2,706,6,18229,2,703,7,19024,2,703,8,30387,3,703,9,17392,5
703,0,3462,1,703,1,7015,1,705,2,3561,6,708,3,4812,2,708,4,14778,2,704,5,18229,2,706,6,20773,2,703,7,19355,2,704,8,3,4,703,9,19296,5
703,0,3561,28,703,1,7132,5,705,2,4323,4,708,3,4837,14,708,4,17429,1,704,5,19191,2,706,6,25956,2,703,7,21844,46,704,8,38,8,703,9,19355,3
703,0,3790,1,703,1,7303,1,705,2,4766,2725,708,3,5078,2,708,4,17964,99,704,5,27699,2,706,6,34104,2,703,7,23352,4,704,8,109,8,703,9,19536,26
703,0,4134,1,703,1,7718,1,705,2,4837,1,708,3,5617,1,708,4,25074,7,705,5,4,1,707,6,1257,2,703,7,25751,7,704,8,209,1,703,9,20461,6
703,0,4323,1,703,1,9271,2,705,2,5617,12,708,3,14383,2,708,4,27696,119,705,5,286,6,707,6,4134,13,703,7,30081,29,704,8,271,8,703,9,30678,7
703,0,4513,101,703,1,9394,1,705,2,7018,921,708,3,17897,1,708,4,31976,83,705,5,553,6,707,6,4812,4,703,7,30380,10,704,8,559,11,704,9,7132,2
703,0,4766,3,703,1,9808,1,705,2,7065,2,708,3,17964,1,708,4,32244,1,705,5,2152,2,707,6,4837,2,703,7,33694,2,704,8,701,3,704,9,8070,3
703,0,4837,1,703,1,9908,1,705,2,7132,3,708,3,25074,1,708,4,33651,2,705,5,3356,1,707,6,6478,6,704,7,109,8,704,8,786,3,704,9,11922,1
703,0,5384,1,703,1,9929,2,705,2,7377,78,708,3,27696,1,709,4,7132,3,705,5,3561,1,707,6,7132,2,704,7,209,3,704,8,852,1,705,9,102,97
703,0,5486,1,703,1,11427,1,705,2,9506,18,708,3,32244,1,709,4,9916,1,705,5,4538,77,707,6,8342,1,704,7,852,2,704,8,1668,11,705,9,174,4
703,0,6147,1,703,1,11456,1,705,2,9800,734,709,3,3462,2,709,4,13571,21,705,5,4766,2,707,6,9318,6,704,7,2152,34,704,8,2152,10,705,9,209,19
703,0,6432,1,703,1,12271,1,705,2,12513,2,709,3,4766,2,709,4,19875,1,705,5,4837,15,707,6,17672,1,704,7,3356,1,704,8,3268,12,705,9,237,2
703,0,6724,1,703,1,12302,190,705,2,13749,29,709,3,4812,1,709,4,29895,18,705,5,8070,3,708,6,3786,2,704,7,3561,2,704,8,3462,5,705,9,559,15
703,0,7029,1,703,1,12322,1,705,2,19918,48,709,3,4837,1,709,4,31976,85,705,5,8075,6,708,6,4134,6,704,7,4264,1,704,8,3561,2,705,9,1668,286
703,0,8151,1,703,1,13767,4,705,2,21840,1,709,3,8881,2,709,4,33651,17,705,5,10292,4,708,6,4812,1,704,7,6432,9,704,8,3701,4,705,9,2013,63
703,0,8167,1,703,1,14742,2,705,2,29863,12,709,3,9916,1,709,4,35315,2,705,5,13749,2,708,6,4837,25,704,7,7018,3,704,8,4265,3,705,9,2152,194
703,0,9121,2,703,1,14777,12,705,2,30099,4,709,3,10843,2,710,4,4323,1,705,5,13867,2,708,6,5078,1,704,7,8070,3,704,8,4266,1,705,9,2714,8
703,0,9394,1,703,1,14778,13,706,2,209,26,709,3,14265,2,710,4,4808,1,705,5,27715,1,708,6,5617,1,704,7,9156,1,704,8,4378,38,705,9,2828,1
703,0,9811,1,703,1,14780,1,706,2,1312,83,709,3,17897,5,710,4,6079,2,706,5,2152,2,708,6,14383,1,704,7,9271,4,704,8,5662,41,705,9,2914,44
703,0,12270,1,703,1,15169,5,706,2,2552,1,709,3,20718,4,710,4,7132,4,706,5,3561,2,708,6,25074,2,704,7,10565,1,704,8,5719,9,705,9,3356,8
703,0,12970,1,703,1,17974,2,706,2,3561,18,709,3,21522,1,710,4,8708,1,706,5,4134,1,708,6,27696,1,704,7,12168,2,704,8,6140,1,705,9,3561,40
703,0,13462,17,703,1,18229,1,706,2,4323,4,710,3,4134,7,710,4,9318,136,706,5,4766,1,709,6,3462,2,704,7,15169,52,704,8,6453,1,705,9,3701,2
703,0,13867,1,703,1,19318,2,706,2,4766,1,710,3,4713,2,710,4,14777,9,706,5,8070,5,709,6,4134,4,704,7,17225,4,704,8,7377,7,705,9,4182,42
703,0,16338,1,703,1,19429,2,706,2,5617,11,710,3,4808,6,710,4,14778,2,706,5,8075,5,709,6,4323,2,704,7,18924,48,704,8,8001,1,705,9,4323,19
703,0,18229,1,703,1,20676,2,706,2,6106,1,710,3,4812,3,710,4,22855,14,706,5,11062,6,709,6,4766,2,704,7,19306,7,704,8,8070,4,705,9,4436,3
703,0,19115,1,703,1,22773,1,706,2,6342,36,710,3,6079,10,710,4,24940,1,706,5,12297,2,709,6,4812,3,704,7,21568,7,704,8,8075,3,705,9,6307,12
703,0,19864,48,703,1,32244,1,706,2,6364,3,710,3,7788,2,710,4,31976,83,706,5,13867,2,709,6,4837,2,704,7,21844,3,704,8,9271,1,705,9,6318,33
703,0,26085,3,703,1,33287,2,706,2,6478,12,710,3,8708,1,711,4,3320,2,706,5,18229,2,709,6,8881,2,704,7,22758,2,704,8,10913,1,705,9,6432,16
703,0,26101,2,703,1,33651,1,706,2,7018,931,710,3,17897,5,711,4,4134,3,706,5,20773,2,709,6,9916,1,704,7,25751,1,704,8,11078,2,705,9,6453,8
703,0,31976,1,703,1,33668,1,706,2,7065,1,710,3,20401,1,711,4,4538,1,706,5,25956,2,709,6,14265,6,704,7,27699,1,704,8,11486,10,705,9,6939,3
